attendance_binary,previous_attendance,previous_away_team_errors,previous_away_team_hits,previous_away_team_runs,game_type,previous_game_type,previous_home_team_errors,previous_home_team_hits,previous_home_team_runs,game_day,previous_game_day,temperature,wind_speed,sky,previous_game_duration,previous_homewin
0,36941,0,8,2,Day Game,Night Game,0,10,3,Sunday,Saturday,82,12,Unknown,4.25,1
1,34805,0,8,2,Day Game,Night Game,0,7,3,Sunday,Saturday,81,10,Sunny,2.6,1
0,34724,0,4,0,Day Game,Night Game,0,12,8,Sunday,Saturday,85,4,Sunny,2.883333333,1
0,26654,0,4,0,Day Game,Day Game,0,4,1,Sunday,Saturday,75,4,Cloudy,3.883333333,1
0,17226,2,11,10,Day Game,Day Game,3,11,4,Sunday,Saturday,79,5,Cloudy,3.333333333,0
1,40956,0,8,11,Day Game,Day Game,1,8,3,Sunday,Saturday,69,11,Cloudy,3.033333333,0
1,37267,0,9,5,Night Game,Day Game,0,10,6,Sunday,Saturday,78,8,Unknown,3.6,1
0,27823,0,6,5,Day Game,Night Game,1,7,2,Sunday,Saturday,83,7,Unknown,3,0
1,36016,0,7,3,Day Game,Day Game,1,13,7,Sunday,Saturday,75,5,Overcast,3.433333333,1
0,38255,1,11,6,Day Game,Night Game,1,6,2,Sunday,Saturday,73,0,In Dome,3.2,0
1,39195,3,10,1,Day Game,Night Game,0,8,6,Sunday,Saturday,84,6,Sunny,3.133333333,1
1,30486,1,10,6,Night Game,Night Game,0,12,7,Saturday,Friday,92,6,Sunny,3.033333333,1
1,41278,1,7,2,Night Game,Night Game,1,7,8,Saturday,Friday,65,10,Sunny,2.95,1
1,30178,0,10,6,Night Game,Night Game,2,3,0,Saturday,Friday,65,3,Overcast,2.966666667,0
0,18179,0,13,3,Night Game,Night Game,1,13,4,Saturday,Friday,79,7,Unknown,4.716666667,1
1,33338,0,3,0,Night Game,Night Game,1,7,3,Saturday,Friday,73,13,Cloudy,2.683333333,1
1,29318,1,11,7,Night Game,Night Game,0,7,4,Saturday,Friday,81,6,Sunny,3,0
1,30451,1,10,7,Night Game,Night Game,0,14,8,Saturday,Friday,77,3,Cloudy,3.516666667,1
0,29137,3,5,4,Day Game,Night Game,0,14,11,Saturday,Friday,79,15,Overcast,3.516666667,1
0,20238,1,12,9,Night Game,Night Game,0,9,7,Saturday,Friday,75,12,Unknown,3.916666667,0
0,24397,0,11,7,Day Game,Night Game,1,7,3,Saturday,Saturday,77,16,Overcast,3.483333333,0
1,40823,1,10,4,Day Game,Day Game,1,11,5,Saturday,Friday,81,12,Cloudy,3.216666667,1
1,37927,0,9,4,Day Game,Night Game,0,12,7,Saturday,Friday,74,17,Cloudy,3.216666667,1
0,30094,2,10,4,Night Game,Night Game,1,9,5,Saturday,Friday,78,4,Cloudy,2.733333333,1
1,33618,1,12,7,Day Game,Night Game,0,9,2,Saturday,Friday,83,8,Cloudy,3.233333333,0
1,28211,0,5,3,Night Game,Night Game,1,6,2,Saturday,Friday,75,0,In Dome,3.533333333,0
1,42159,0,10,5,Night Game,Night Game,0,8,0,Saturday,Friday,83,6,Sunny,3.25,0
1,46025,0,11,7,Night Game,Day Game,1,11,6,Friday,Sunday,91,2,Unknown,3.366666667,0
1,41210,1,5,2,Night Game,Night Game,0,12,6,Friday,Thursday,61,13,Sunny,2.55,1
0,27126,0,9,3,Night Game,Night Game,0,6,7,Friday,Thursday,92,6,Sunny,2.65,1
1,37559,1,10,7,Night Game,Night Game,1,6,2,Friday,Thursday,74,6,Sunny,3.25,0
1,41183,0,8,3,Night Game,Day Game,0,4,1,Thursday,Wednesday,60,12,Sunny,2.85,0
0,16112,2,9,2,Night Game,Night Game,0,15,6,Thursday,Wednesday,74,6,Cloudy,2.95,1
1,30006,0,13,8,Night Game,Night Game,1,4,0,Thursday,Wednesday,83,11,Sunny,2.933333333,0
0,27953,0,6,6,Day Game,Night Game,0,13,9,Thursday,Wednesday,70,5,Cloudy,2.9,1
1,41293,0,4,2,Night Game,Day Game,1,10,3,Thursday,Sunday,70,9,Sunny,4.383333333,1
0,15808,1,10,6,Day Game,Night Game,0,6,1,Thursday,Wednesday,76,9,Cloudy,2.8,0
1,37973,1,5,1,Night Game,Night Game,0,4,0,Thursday,Wednesday,63,12,Sunny,2.583333333,0
0,31161,0,7,5,Night Game,Day Game,1,6,2,Thursday,Sunday,72,3,Cloudy,3.283333333,0
0,19801,2,13,6,Night Game,Night Game,0,17,11,Thursday,Wednesday,92,6,Sunny,3.816666667,1
1,33501,0,6,2,Night Game,Night Game,0,5,1,Thursday,Wednesday,74,4,Sunny,3.016666667,0
0,25796,1,12,4,Day Game,Night Game,0,8,3,Wednesday,Tuesday,93,7,Sunny,3.366666667,0
1,38338,0,7,6,Day Game,Night Game,0,9,2,Wednesday,Tuesday,64,10,Unknown,3.166666667,0
1,44060,0,4,2,Day Game,Night Game,0,7,4,Wednesday,Tuesday,83,5,Sunny,2.85,1
1,41231,0,12,6,Day Game,Night Game,0,12,4,Wednesday,Tuesday,68,9,Sunny,3.45,0
0,16190,1,7,5,Night Game,Night Game,0,6,3,Wednesday,Tuesday,88,8,Unknown,3.2,0
1,32615,0,5,0,Day Game,Night Game,0,8,3,Wednesday,Tuesday,88,7,Cloudy,3.033333333,1
1,29523,1,6,5,Night Game,Night Game,2,10,4,Wednesday,Tuesday,76,7,Cloudy,2.933333333,0
0,22133,0,6,3,Night Game,Night Game,1,4,2,Wednesday,Tuesday,73,0,In Dome,2.383333333,0
0,26393,0,13,8,Night Game,Night Game,0,6,1,Wednesday,Tuesday,71,13,Unknown,2.8,0
0,12926,2,4,4,Night Game,Night Game,0,10,6,Wednesday,Tuesday,76,4,Unknown,2.583333333,1
0,15588,0,6,1,Night Game,Night Game,1,9,8,Wednesday,Tuesday,72,10,Unknown,2.616666667,1
1,38041,1,9,6,Night Game,Night Game,0,9,3,Wednesday,Tuesday,82,14,Unknown,3.483333333,0
0,20125,1,10,7,Night Game,Night Game,1,9,5,Wednesday,Tuesday,88,8,Sunny,3.4,0
0,20897,0,8,4,Night Game,Night Game,0,17,11,Wednesday,Tuesday,91,5,Sunny,3.466666667,1
1,32139,1,10,8,Night Game,Night Game,1,3,0,Wednesday,Tuesday,73,7,Sunny,2.616666667,0
0,22832,0,5,1,Night Game,Night Game,0,10,8,Tuesday,Monday,86,9,Sunny,3.133333333,1
1,35333,0,4,2,Night Game,Night Game,1,6,3,Tuesday,Monday,77,11,Cloudy,2.216666667,1
1,43397,0,7,4,Night Game,Night Game,1,1,1,Tuesday,Monday,82,6,Cloudy,2.283333333,0
1,41233,0,9,4,Night Game,Night Game,0,5,0,Tuesday,Monday,63,10,Sunny,2.9,0
0,15514,1,5,2,Night Game,Night Game,2,9,6,Tuesday,Monday,79,7,Sunny,3.3,1
1,32058,0,12,8,Night Game,Night Game,1,5,2,Tuesday,Monday,73,7,Sunny,3.216666667,0
0,31061,0,17,16,Night Game,Night Game,1,7,3,Tuesday,Monday,83,14,Cloudy,3.383333333,0
0,22147,0,9,4,Night Game,Night Game,1,7,3,Tuesday,Monday,73,0,In Dome,3.8,0
0,28093,0,5,2,Night Game,Night Game,0,6,4,Tuesday,Monday,80,14,Sunny,3.066666667,1
0,14671,0,6,0,Night Game,Night Game,1,7,3,Tuesday,Monday,78,10,Sunny,2.533333333,1
0,12588,2,8,4,Night Game,Night Game,2,16,11,Tuesday,Monday,83,8,Unknown,3.5,1
1,37551,1,2,2,Night Game,Night Game,1,16,12,Tuesday,Monday,80,16,Sunny,2.666666667,1
0,18271,1,17,7,Night Game,Night Game,0,17,12,Tuesday,Monday,84,8,Cloudy,3.583333333,1
0,20637,1,14,9,Night Game,Night Game,1,16,12,Tuesday,Monday,93,11,Cloudy,3.7,1
1,29932,1,11,8,Night Game,Night Game,1,6,1,Tuesday,Monday,67,5,Sunny,3.133333333,0
0,31805,0,7,2,Night Game,Day Game,1,4,3,Monday,Sunday,82,4,Sunny,2.816666667,1
1,47816,2,11,11,Night Game,Day Game,1,8,8,Monday,Sunday,71,3,Sunny,3.766666667,0
1,44703,1,4,2,Night Game,Day Game,0,5,1,Monday,Sunday,75,7,Cloudy,2.55,0
1,41447,0,9,2,Night Game,Day Game,0,9,4,Monday,Wednesday,57,14,Overcast,3.55,1
0,21322,0,8,2,Night Game,Day Game,0,5,0,Monday,Sunday,75,6,Sunny,3.233333333,0
1,33087,1,9,4,Night Game,Day Game,0,7,2,Monday,Sunday,71,7,Sunny,2.966666667,0
1,34616,0,13,6,Night Game,Day Game,0,7,5,Monday,Sunday,81,11,Cloudy,3.316666667,0
0,31939,0,10,9,Night Game,Night Game,1,7,5,Monday,Sunday,73,0,In Dome,3.116666667,0
0,33069,0,8,3,Night Game,Day Game,0,5,1,Monday,Sunday,73,7,Sunny,3.383333333,0
0,13936,0,13,6,Night Game,Day Game,1,13,3,Monday,Wednesday,78,0,Sunny,3.483333333,0
0,20107,0,10,2,Night Game,Day Game,0,2,0,Monday,Sunday,79,13,Sunny,2.983333333,0
1,36786,0,12,6,Night Game,Day Game,0,12,8,Monday,Wednesday,68,15,Sunny,3.166666667,1
0,32829,0,11,10,Night Game,Day Game,0,11,3,Monday,Sunday,79,13,Unknown,2.933333333,0
0,26008,0,8,5,Night Game,Day Game,0,11,3,Monday,Sunday,96,10,Sunny,3.316666667,0
1,36152,0,5,0,Day Game,Night Game,0,7,3,Sunday,Saturday,84,9,Cloudy,3.083333333,1
1,47829,1,4,2,Day Game,Day Game,1,6,3,Sunday,Saturday,70,11,Sunny,3.05,1
1,45440,1,6,1,Day Game,Night Game,0,8,5,Sunday,Saturday,77,1,Sunny,2.65,1
0,23719,1,4,3,Day Game,Night Game,1,8,6,Sunday,Saturday,76,12,Sunny,2.616666667,1
0,25918,1,15,8,Day Game,Night Game,0,10,7,Sunday,Saturday,73,8,Overcast,3.6,0
0,18438,1,17,14,Day Game,Day Game,0,9,3,Sunday,Saturday,61,10,Cloudy,3.05,0
1,33460,1,6,1,Day Game,Day Game,0,6,5,Sunday,Saturday,76,8,Cloudy,2.566666667,1
0,23584,0,7,1,Day Game,Night Game,0,7,2,Sunday,Saturday,75,19,Sunny,3.633333333,1
0,20933,1,8,5,Day Game,Night Game,0,2,0,Sunday,Saturday,75,0,In Dome,2.866666667,0
1,41854,1,2,1,Night Game,Day Game,1,5,2,Sunday,Saturday,73,0,In Dome,2.9,1
1,36634,0,12,11,Day Game,Night Game,0,8,3,Sunday,Saturday,67,6,Sunny,3.083333333,0
0,20148,0,7,6,Day Game,Night Game,1,13,5,Sunday,Saturday,73,5,Cloudy,3.55,0
1,47841,0,7,3,Day Game,Night Game,2,8,4,Sunday,Saturday,87,7,Cloudy,3.4,1
0,32301,0,19,11,Day Game,Night Game,0,5,3,Sunday,Saturday,75,0,In Dome,3.15,0
1,39146,1,12,8,Day Game,Night Game,0,9,5,Sunday,Saturday,81,7,Sunny,3.666666667,0
1,28469,0,7,4,Night Game,Night Game,0,9,5,Saturday,Friday,88,4,Cloudy,3.516666667,1
1,46953,1,18,13,Day Game,Night Game,2,9,3,Saturday,Friday,75,2,Overcast,3.383333333,0
1,42647,1,9,3,Night Game,Night Game,1,5,4,Saturday,Friday,75,13,Cloudy,2.566666667,1
0,25015,0,9,4,Night Game,Night Game,0,5,1,Saturday,Friday,75,13,Sunny,2.633333333,0
0,24520,0,10,4,Night Game,Night Game,0,10,3,Saturday,Friday,86,11,Cloudy,3.016666667,0
0,19385,0,6,3,Day Game,Night Game,0,7,2,Saturday,Friday,65,9,Sunny,2.983333333,0
1,30194,0,12,5,Day Game,Night Game,0,9,7,Saturday,Friday,85,12,Cloudy,3.5,1
0,20173,1,9,5,Night Game,Night Game,2,6,4,Saturday,Friday,70,12,Cloudy,3.116666667,0
0,22940,0,7,1,Night Game,Night Game,0,8,4,Saturday,Friday,76,0,In Dome,3.133333333,1
1,33841,0,5,2,Day Game,Night Game,0,7,0,Saturday,Friday,73,0,In Dome,2.566666667,0
1,32140,0,5,3,Night Game,Night Game,0,9,4,Saturday,Friday,71,9,Overcast,2.9,1
0,20653,1,7,2,Night Game,Night Game,3,13,7,Saturday,Friday,72,14,Cloudy,3.183333333,1
1,20033,0,8,3,Night Game,Day Game,1,6,4,Friday,Wednesday,73,0,In Dome,2.716666667,1
1,32465,0,4,2,Night Game,Day Game,0,9,3,Friday,Wednesday,80,4,Cloudy,2.766666667,1
0,13078,1,10,4,Night Game,Day Game,0,13,7,Friday,Wednesday,75,6,Overcast,3.3,1
0,22253,0,8,6,Night Game,Day Game,0,11,9,Friday,Thursday,87,6,Sunny,2.8,1
0,22624,1,5,2,Night Game,Day Game,0,18,11,Friday,Sunday,99,9,Sunny,2.95,1
1,34215,0,4,0,Night Game,Day Game,2,7,3,Friday,Wednesday,75,5,Sunny,2.166666667,1
0,19894,0,13,4,Night Game,Night Game,0,15,5,Thursday,Wednesday,93,5,Sunny,4.65,1
1,42239,0,9,7,Night Game,Day Game,2,8,4,Thursday,Sunday,75,2,Overcast,2.716666667,0
0,15434,0,7,3,Night Game,Night Game,1,8,8,Thursday,Wednesday,65,2,Unknown,2.5,1
0,31662,0,9,7,Night Game,Night Game,1,7,2,Thursday,Wednesday,71,7,Sunny,3.016666667,0
0,21523,0,9,3,Night Game,Night Game,1,11,4,Thursday,Wednesday,84,14,Cloudy,3.016666667,1
0,30501,1,5,0,Night Game,Night Game,0,9,2,Thursday,Wednesday,84,13,Cloudy,2.8,1
0,12063,0,12,5,Day Game,Night Game,0,12,6,Thursday,Wednesday,87,15,Sunny,3.1,1
0,17161,2,11,7,Night Game,Night Game,0,12,9,Wednesday,Tuesday,79,7,Unknown,3.633333333,1
0,12207,1,14,11,Day Game,Night Game,1,8,2,Wednesday,Tuesday,72,0,In Dome,3.133333333,0
0,14615,2,15,10,Night Game,Night Game,1,12,7,Wednesday,Tuesday,65,1,Unknown,3.733333333,0
1,30644,0,10,5,Night Game,Night Game,0,9,1,Wednesday,Tuesday,70,6,Cloudy,3.066666667,0
0,20369,2,15,9,Night Game,Night Game,0,12,7,Wednesday,Tuesday,84,6,Sunny,3.6,0
0,12298,0,5,2,Day Game,Night Game,1,4,3,Wednesday,Tuesday,79,4,Sunny,2.233333333,1
1,27532,1,11,6,Night Game,Night Game,0,7,7,Wednesday,Tuesday,78,10,Cloudy,3.35,1
0,22194,0,10,10,Night Game,Night Game,1,8,3,Wednesday,Tuesday,74,6,Cloudy,3.116666667,0
0,32888,2,8,5,Night Game,Night Game,0,16,12,Wednesday,Tuesday,80,0,In Dome,2.816666667,1
0,16169,1,10,4,Night Game,Night Game,0,7,3,Wednesday,Tuesday,76,0,In Dome,3,0
1,42457,0,4,2,Night Game,Night Game,0,11,5,Wednesday,Tuesday,74,6,Sunny,2.816666667,1
0,22437,0,8,3,Night Game,Night Game,1,4,2,Wednesday,Tuesday,82,4,Cloudy,3.033333333,0
0,11023,1,7,4,Night Game,Night Game,0,7,3,Wednesday,Tuesday,87,1,Unknown,3.05,0
0,13359,1,8,5,Day Game,Night Game,1,5,3,Wednesday,Tuesday,87,8,Cloudy,3.133333333,0
0,15155,0,7,0,Day Game,Night Game,0,8,2,Wednesday,Tuesday,90,6,Unknown,2.9,1
0,26005,0,11,4,Night Game,Day Game,2,9,6,Tuesday,Monday,89,14,Sunny,2.983333333,1
0,12256,0,9,7,Night Game,Day Game,1,2,3,Tuesday,Monday,72,0,In Dome,2.583333333,0
0,23618,0,7,6,Night Game,Day Game,0,14,14,Tuesday,Monday,62,1,Cloudy,3.533333333,1
1,40446,0,7,1,Night Game,Day Game,0,6,2,Tuesday,Monday,72,8,Cloudy,3.016666667,1
0,26297,0,14,12,Night Game,Day Game,2,12,6,Tuesday,Monday,87,7,Cloudy,3.416666667,0
0,18149,0,14,10,Night Game,Day Game,2,11,7,Tuesday,Monday,66,14,Sunny,3.733333333,0
0,42141,0,8,3,Night Game,Day Game,0,8,5,Tuesday,Monday,77,16,Unknown,2.816666667,1
0,20992,0,16,11,Night Game,Day Game,1,12,5,Tuesday,Monday,74,2,Unknown,3.4,0
1,43662,0,10,7,Night Game,Day Game,2,6,2,Tuesday,Monday,89,10,Unknown,2.85,0
0,20849,0,8,6,Night Game,Day Game,3,6,2,Tuesday,Monday,74,0,In Dome,2.9,0
1,41820,0,4,2,Night Game,Night Game,0,11,10,Tuesday,Monday,71,4,Sunny,3.2,1
0,26574,0,2,0,Night Game,Day Game,0,6,6,Tuesday,Monday,75,7,Sunny,2.4,1
0,13062,1,11,6,Night Game,Night Game,2,7,2,Tuesday,Monday,84,4,Sunny,3.733333333,0
0,18169,0,10,5,Night Game,Day Game,0,8,0,Tuesday,Monday,85,10,Sunny,3.083333333,0
0,18653,0,9,5,Night Game,Day Game,1,10,3,Tuesday,Monday,91,13,Cloudy,3.933333333,0
0,28124,1,10,5,Day Game,Day Game,0,6,3,Monday,Sunday,86,5,Unknown,2.866666667,0
0,13884,0,10,5,Day Game,Day Game,0,8,3,Monday,Sunday,72,0,In Dome,3.3,0
0,24033,0,10,4,Day Game,Day Game,0,8,2,Monday,Sunday,63,3,Unknown,3,0
1,30033,1,10,6,Day Game,Day Game,1,6,3,Monday,Wednesday,74,11,Cloudy,2.916666667,0
0,25318,0,11,10,Day Game,Day Game,2,6,0,Monday,Sunday,86,3,Sunny,3.166666667,0
0,25139,2,6,0,Day Game,Day Game,1,2,1,Monday,Sunday,67,6,Sunny,2.65,1
1,38002,0,10,5,Day Game,Day Game,0,8,0,Monday,Sunday,74,11,Cloudy,3.116666667,0
0,22595,0,16,13,Day Game,Day Game,3,18,11,Monday,Sunday,79,10,Unknown,4.766666667,0
1,17645,0,3,1,Day Game,Night Game,1,4,3,Monday,Wednesday,81,11,Cloudy,2.55,1
0,19883,0,8,3,Day Game,Day Game,0,6,1,Monday,Sunday,79,0,In Dome,2.6,0
1,46441,0,7,4,Night Game,Day Game,1,9,7,Monday,Sunday,72,9,Sunny,3.15,1
0,31981,1,10,8,Day Game,Day Game,0,11,5,Monday,Sunday,87,4,Sunny,3.333333333,0
0,26985,0,5,5,Day Game,Day Game,2,11,2,Monday,Sunday,85,4,Sunny,2.933333333,0
0,25538,0,7,1,Day Game,Day Game,0,5,4,Monday,Sunday,87,13,Unknown,2.5,1
1,35538,0,11,4,Day Game,Day Game,0,16,12,Sunday,Saturday,90,9,Cloudy,3.45,1
0,14353,0,6,5,Day Game,Night Game,0,13,7,Sunday,Saturday,72,0,In Dome,3.1,1
0,20357,0,15,10,Day Game,Night Game,1,9,3,Sunday,Saturday,61,2,Cloudy,2.9,0
0,26637,1,14,7,Day Game,Night Game,0,9,4,Sunday,Saturday,81,4,Sunny,3.75,0
0,19453,1,9,6,Day Game,Night Game,2,6,4,Sunday,Saturday,78,10,Sunny,3.45,0
0,30045,0,17,11,Day Game,Night Game,2,5,2,Sunday,Saturday,65,7,Sunny,3,0
1,36118,0,7,1,Night Game,Night Game,1,6,3,Sunday,Saturday,76,10,Cloudy,3.216666667,1
0,22274,1,4,3,Day Game,Night Game,0,12,11,Sunday,Saturday,77,17,Unknown,3.2,1
1,47590,0,4,1,Day Game,Night Game,0,9,5,Sunday,Saturday,76,2,Cloudy,2.583333333,1
1,39757,0,9,2,Day Game,Night Game,0,9,5,Sunday,Saturday,80,11,Cloudy,3.233333333,1
1,30280,1,14,9,Day Game,Night Game,0,10,4,Sunday,Saturday,86,7,Cloudy,3.183333333,0
0,27483,3,4,3,Day Game,Night Game,0,12,8,Sunday,Saturday,78,13,Sunny,2.633333333,1
0,31118,1,5,1,Day Game,Day Game,1,12,9,Sunday,Saturday,81,2,Sunny,3.166666667,1
1,41250,1,4,3,Day Game,Day Game,1,7,2,Sunday,Saturday,76,8,Cloudy,3.216666667,0
1,30855,1,4,0,Day Game,Night Game,0,8,2,Sunday,Saturday,73,7,Cloudy,3.033333333,1
1,35102,1,7,8,Day Game,Night Game,1,13,10,Saturday,Friday,87,7,Cloudy,3.25,1
0,12602,2,6,3,Night Game,Night Game,0,8,8,Saturday,Friday,72,0,In Dome,2.866666667,1
0,16775,2,10,8,Night Game,Night Game,1,13,11,Saturday,Friday,66,8,Cloudy,3.416666667,1
0,21772,1,3,1,Night Game,Night Game,1,7,0,Saturday,Friday,76,7,Cloudy,3.016666667,0
0,17175,0,13,8,Night Game,Night Game,1,9,4,Saturday,Friday,73,10,Cloudy,3.466666667,0
1,21376,0,17,16,Night Game,Night Game,2,6,2,Saturday,Friday,60,15,Unknown,3.45,0
1,32040,0,8,4,Night Game,Night Game,0,4,1,Saturday,Friday,72,9,Cloudy,3.116666667,0
0,20806,1,17,11,Night Game,Night Game,1,8,4,Saturday,Friday,74,17,Cloudy,2.983333333,0
1,48911,1,6,4,Night Game,Night Game,1,13,2,Saturday,Friday,72,8,Sunny,3.533333333,0
1,25008,2,13,7,Night Game,Night Game,0,11,6,Saturday,Friday,77,11,Sunny,3.466666667,0
1,23002,2,10,7,Night Game,Night Game,2,14,14,Saturday,Friday,82,5,Cloudy,3.183333333,1
0,24415,0,8,2,Night Game,Night Game,0,7,6,Saturday,Friday,72,14,Sunny,2.816666667,1
1,21441,1,6,2,Day Game,Night Game,0,11,3,Saturday,Friday,79,12,Sunny,2.95,1
1,40818,0,3,1,Day Game,Day Game,0,5,2,Saturday,Friday,71,9,Sunny,2.616666667,1
1,24226,0,2,0,Night Game,Night Game,0,10,8,Saturday,Friday,76,9,Cloudy,2.866666667,1
1,21309,0,8,1,Night Game,Day Game,1,12,14,Friday,Wednesday,85,8,Cloudy,3.016666667,1
1,38536,0,3,4,Day Game,Night Game,1,8,5,Friday,Thursday,73,11,Sunny,2.9,1
0,16161,1,9,5,Night Game,Night Game,0,8,3,Friday,Wednesday,76,5,Unknown,3.2,0
0,33471,0,7,2,Night Game,Night Game,3,9,5,Thursday,Wednesday,76,5,Unknown,2.766666667,1
0,26437,0,11,8,Night Game,Day Game,1,9,5,Thursday,Thursday,72,8,Cloudy,2.816666667,0
1,38137,0,9,5,Night Game,Night Game,2,8,6,Thursday,Wednesday,68,15,Cloudy,3.8,1
0,20899,1,5,1,Day Game,Night Game,0,12,8,Thursday,Wednesday,85,2,Cloudy,3.366666667,1
0,26950,3,11,7,Day Game,Night Game,1,15,8,Wednesday,Tuesday,91,2,Cloudy,3.383333333,1
1,41443,1,7,4,Day Game,Night Game,0,8,3,Wednesday,Tuesday,67,15,Cloudy,3.3,0
0,16378,0,7,3,Night Game,Night Game,0,3,2,Wednesday,Tuesday,86,7,Unknown,2.7,0
1,32634,0,9,4,Night Game,Night Game,0,13,7,Wednesday,Tuesday,81,14,Unknown,3.066666667,1
0,22918,0,7,2,Night Game,Night Game,0,5,1,Wednesday,Tuesday,72,10,Sunny,3.133333333,0
0,22895,2,14,5,Night Game,Night Game,0,7,4,Wednesday,Tuesday,78,9,Cloudy,4.116666667,0
0,23114,1,5,1,Day Game,Night Game,1,5,3,Wednesday,Tuesday,73,0,In Dome,2.466666667,1
1,27121,2,9,4,Day Game,Night Game,0,11,8,Wednesday,Tuesday,78,5,Unknown,3.216666667,1
0,24308,0,5,1,Night Game,Night Game,1,12,8,Wednesday,Monday,78,10,Sunny,3.6,1
0,22683,2,10,10,Day Game,Night Game,1,12,8,Wednesday,Wednesday,69,5,Sunny,3.6,0
0,11937,0,10,4,Night Game,Night Game,1,9,5,Wednesday,Tuesday,75,16,Overcast,3.166666667,1
1,38174,0,4,0,Night Game,Night Game,0,5,3,Wednesday,Tuesday,70,17,Unknown,2.6,1
1,37083,0,8,4,Day Game,Night Game,0,6,3,Wednesday,Tuesday,81,7,Unknown,3.183333333,0
0,16083,0,7,3,Night Game,Night Game,1,7,5,Wednesday,Tuesday,85,6,Cloudy,2.566666667,1
0,20309,0,7,3,Night Game,Night Game,0,12,7,Wednesday,Tuesday,90,5,Cloudy,2.916666667,1
1,33042,0,11,2,Day Game,Night Game,0,10,4,Wednesday,Tuesday,90,9,Sunny,2.933333333,1
0,22972,1,7,3,Night Game,Night Game,0,8,6,Tuesday,Monday,88,11,Cloudy,3.3,1
1,41675,0,6,4,Night Game,Day Game,0,18,13,Tuesday,Sunday,66,15,Cloudy,3.216666667,1
0,16056,0,9,4,Night Game,Night Game,1,4,0,Tuesday,Monday,82,5,Cloudy,2.966666667,0
1,32188,0,5,1,Night Game,Night Game,0,7,2,Tuesday,Monday,77,9,Cloudy,3.5,1
0,18663,1,11,6,Night Game,Night Game,2,8,5,Tuesday,Monday,80,0,In Dome,3.4,0
0,22859,0,9,5,Night Game,Night Game,1,11,8,Tuesday,Monday,82,6,Cloudy,3.283333333,1
0,18613,2,4,0,Night Game,Night Game,0,8,6,Tuesday,Monday,73,0,In Dome,2.75,1
0,27201,1,9,3,Night Game,Night Game,0,7,4,Tuesday,Monday,80,4,Unknown,3.333333333,1
0,11327,1,9,0,Night Game,Night Game,0,8,1,Tuesday,Monday,78,7,Cloudy,3.316666667,1
1,38951,1,13,7,Night Game,Night Game,2,17,8,Tuesday,Monday,75,1,Unknown,5.05,1
1,36948,0,9,4,Night Game,Night Game,0,14,9,Tuesday,Monday,72,7,Cloudy,3.183333333,1
0,15532,0,7,5,Night Game,Night Game,0,4,1,Tuesday,Monday,84,4,Sunny,2.583333333,0
0,25341,5,8,6,Night Game,Day Game,0,9,7,Tuesday,Sunday,86,12,Cloudy,3.6,1
1,34161,0,8,2,Night Game,Night Game,0,14,9,Tuesday,Monday,79,6,Sunny,2.85,1
0,35225,1,6,1,Night Game,Day Game,0,5,2,Monday,Sunday,81,3,Cloudy,2.716666667,1
0,20127,0,13,9,Night Game,Day Game,0,9,0,Monday,Sunday,89,10,Cloudy,3.116666667,0
1,32033,1,8,5,Night Game,Day Game,0,7,1,Monday,Sunday,87,7,Cloudy,3.133333333,0
0,37583,0,7,3,Night Game,Day Game,0,5,1,Monday,Sunday,80,7,Unknown,2.65,0
0,32996,1,8,1,Night Game,Day Game,1,4,2,Monday,Sunday,85,7,Sunny,2.416666667,1
0,37484,1,15,10,Night Game,Day Game,2,7,4,Monday,Sunday,73,0,In Dome,3.233333333,0
0,28220,0,11,5,Night Game,Day Game,0,4,0,Monday,Sunday,80,6,Sunny,3.15,0
0,46206,4,7,4,Night Game,Day Game,0,14,11,Monday,Sunday,70,5,Unknown,3,1
0,26696,0,7,2,Night Game,Day Game,0,9,3,Monday,Sunday,78,13,Sunny,2.883333333,1
1,41407,0,6,6,Night Game,Day Game,0,14,9,Monday,Thursday,75,3,Overcast,3.35,1
1,37337,1,10,10,Night Game,Night Game,1,9,4,Monday,Sunday,82,11,Sunny,3.416666667,0
0,26697,1,10,1,Night Game,Night Game,0,13,8,Monday,Tuesday,89,4,Sunny,3.2,1
1,40309,0,6,0,Night Game,Day Game,0,8,2,Monday,Sunday,81,4,Sunny,2.65,1
0,27901,0,16,9,Day Game,Day Game,2,12,4,Sunday,Saturday,86,3,Sunny,4.816666667,0
1,47485,1,11,7,Day Game,Day Game,0,10,8,Sunday,Saturday,77,5,Cloudy,3.1,1
1,44944,1,7,0,Day Game,Night Game,1,10,7,Sunday,Saturday,90,6,Unknown,2.95,1
1,41607,1,4,3,Day Game,Night Game,0,6,2,Sunday,Saturday,92,5,Cloudy,2.866666667,0
1,41635,0,7,3,Day Game,Night Game,0,5,1,Sunday,Saturday,68,6,Sunny,2.566666667,0
1,35832,0,3,1,Day Game,Night Game,0,13,12,Sunday,Saturday,86,6,Sunny,3.116666667,1
1,35925,0,12,9,Day Game,Night Game,1,11,6,Sunday,Saturday,77,5,Cloudy,3.35,0
0,20007,0,7,1,Day Game,Night Game,1,9,0,Sunday,Saturday,76,0,In Dome,3.183333333,0
1,49522,0,8,2,Day Game,Day Game,1,6,3,Sunday,Saturday,81,6,Sunny,3.133333333,1
