attendance_binary,previous_attendance,previous_away_team_errors,previous_away_team_hits,previous_away_team_runs,game_type,previous_game_type,previous_home_team_errors,previous_home_team_hits,previous_home_team_runs,game_day,previous_game_day,temperature,wind_speed,sky,previous_game_duration,previous_homewin
1,40438,1,8,3,Night Game,Night Game,0,14,10,Tuesday,Monday,63,5,Cloudy,3.016666667,1
1,43093,1,8,4,Day Game,Night Game,0,7,2,Saturday,Friday,84,14,Sunny,2.9,0
1,41358,0,8,4,Day Game,Night Game,1,9,6,Saturday,Friday,60,6,Overcast,2.666666667,1
1,30108,0,3,0,Night Game,Night Game,0,8,2,Saturday,Friday,60,15,Sunny,3,1
1,45756,0,13,2,Day Game,Night Game,0,6,3,Saturday,Friday,53,10,Unknown,3.166666667,1
0,19983,1,12,4,Night Game,Night Game,0,10,6,Saturday,Friday,78,5,Sunny,2.816666667,1
1,25413,1,5,3,Night Game,Night Game,0,8,6,Saturday,Friday,81,11,Cloudy,2.766666667,1
1,28522,1,10,5,Day Game,Night Game,0,2,1,Saturday,Friday,68,8,Overcast,2.516666667,0
0,13587,0,9,1,Day Game,Night Game,0,9,7,Saturday,Friday,69,5,Overcast,2.733333333,1
0,28249,0,8,1,Night Game,Night Game,0,6,5,Saturday,Friday,73,11,Overcast,2.866666667,1
1,39206,0,9,6,Day Game,Day Game,0,9,8,Saturday,Friday,51,23,Sunny,2.766666667,1
0,23054,1,7,4,Night Game,Night Game,0,14,10,Saturday,Friday,60,16,Sunny,2.9,1
0,19598,0,4,0,Night Game,Night Game,0,7,1,Saturday,Thursday,62,1,Sunny,2.833333333,1
0,37053,0,11,4,Night Game,Day Game,1,8,1,Monday,Sunday,66,3,Cloudy,3.233333333,0
0,13226,1,8,5,Night Game,Night Game,0,10,8,Friday,Wednesday,72,0,In Dome,3.35,1
1,23000,0,10,5,Night Game,Day Game,0,8,6,Friday,Wednesday,76,2,Unknown,4.016666667,1
0,23809,0,4,1,Night Game,Day Game,2,4,2,Friday,Sunday,68,6,Unknown,2.666666667,1
1,35944,0,9,3,Night Game,Night Game,0,7,7,Friday,Thursday,62,1,Drizzle,2.75,1
1,17374,0,7,3,Night Game,Night Game,0,8,0,Friday,Thursday,67,0,In Dome,2.85,0
1,41765,0,3,0,Night Game,Night Game,0,8,5,Friday,Thursday,67,7,Cloudy,2.216666667,1
1,38610,1,16,13,Night Game,Day Game,3,5,2,Friday,Wednesday,62,21,Unknown,2.883333333,0
1,34890,1,13,7,Night Game,Day Game,0,14,8,Friday,Wednesday,56,8,Unknown,3.316666667,1
0,14463,2,9,4,Night Game,Day Game,0,8,5,Friday,Sunday,62,11,Sunny,2.95,1
1,34508,2,10,7,Day Game,Day Game,3,9,4,Friday,Wednesday,65,11,Cloudy,3.25,0
1,34982,1,7,1,Night Game,Night Game,1,14,11,Friday,Thursday,65,12,Unknown,2.933333333,1
1,14918,0,13,5,Night Game,Night Game,1,12,7,Friday,Thursday,75,4,Sunny,3.266666667,1
0,29535,0,7,3,Day Game,Night Game,1,10,4,Sunday,Saturday,54,23,Unknown,2.75,1
0,29579,1,6,2,Night Game,Day Game,0,8,4,Friday,Wednesday,72,4,Unknown,2.483333333,1
0,17456,0,10,4,Night Game,Night Game,1,6,1,Friday,Thursday,59,22,Unknown,2.65,0
1,39494,0,11,9,Night Game,Night Game,1,6,1,Friday,Thursday,69,12,Sunny,3.2,0
0,25435,1,9,3,Night Game,Night Game,0,4,2,Friday,Thursday,73,6,Cloudy,3.116666667,0
0,19893,0,8,2,Night Game,Night Game,0,5,3,Friday,Wednesday,77,0,In Dome,2.483333333,1
0,24453,0,14,3,Night Game,Day Game,1,10,5,Friday,Wednesday,82,9,Sunny,5.15,1
1,29035,3,7,3,Night Game,Day Game,0,13,6,Friday,Wednesday,68,9,Unknown,2.95,1
0,21173,1,10,7,Night Game,Night Game,2,5,2,Friday,Thursday,59,7,Rain,2.8,0
0,20096,0,4,1,Night Game,Night Game,0,5,2,Friday,Thursday,64,13,Unknown,2.183333333,1
1,35736,2,8,9,Night Game,Day Game,3,14,10,Friday,Sunday,66,10,Cloudy,3.666666667,1
1,45007,0,6,4,Night Game,Night Game,0,11,7,Friday,Thursday,65,5,Cloudy,3.1,1
1,42618,1,6,0,Night Game,Night Game,1,7,2,Thursday,Wednesday,69,6,Overcast,2.9,1
1,40137,0,5,3,Day Game,Night Game,0,9,1,Sunday,Saturday,71,7,Cloudy,3.133333333,0
0,38700,0,5,2,Night Game,Day Game,2,6,0,Thursday,Wednesday,83,4,Cloudy,2.633333333,0
0,13554,0,13,4,Day Game,Night Game,2,9,3,Thursday,Wednesday,72,0,In Dome,3.366666667,0
1,20696,1,9,4,Day Game,Night Game,0,11,5,Thursday,Wednesday,78,10,Cloudy,3.083333333,1
1,38959,0,11,8,Day Game,Night Game,1,6,4,Thursday,Wednesday,85,10,Sunny,2.983333333,0
0,25618,4,11,3,Night Game,Night Game,1,8,4,Thursday,Wednesday,73,0,In Dome,2.966666667,1
1,36430,0,10,3,Night Game,Night Game,0,13,10,Thursday,Wednesday,63,12,Unknown,3.15,1
0,12869,0,11,3,Night Game,Night Game,0,9,2,Thursday,Wednesday,85,6,Cloudy,4.85,0
1,33096,0,5,4,Day Game,Night Game,0,11,7,Wednesday,Tuesday,83,7,Unknown,2.8,1
1,26125,0,7,1,Day Game,Night Game,0,7,4,Wednesday,Tuesday,83,15,Unknown,2.783333333,1
0,19545,1,12,7,Night Game,Day Game,0,6,6,Wednesday,Sunday,72,0,In Dome,3.083333333,0
1,44588,1,15,12,Day Game,Night Game,2,7,3,Wednesday,Tuesday,74,9,Cloudy,3.166666667,0
1,41772,1,9,2,Day Game,Night Game,1,9,8,Wednesday,Tuesday,60,8,Overcast,2.85,1
1,38176,0,9,4,Day Game,Night Game,0,3,2,Sunday,Saturday,69,5,Unknown,2.766666667,0
0,22642,1,8,4,Day Game,Night Game,0,9,5,Thursday,Wednesday,73,0,In Dome,3.716666667,1
0,31187,1,12,8,Night Game,Day Game,3,9,5,Thursday,Wednesday,80,3,Cloudy,3.183333333,0
0,23612,1,10,7,Night Game,Night Game,2,7,2,Thursday,Wednesday,81,5,Cloudy,2.833333333,0
0,10524,0,8,4,Night Game,Night Game,0,10,5,Thursday,Wednesday,73,4,Cloudy,3.5,1
1,36426,0,4,1,Day Game,Night Game,0,3,2,Thursday,Wednesday,78,9,Sunny,2.483333333,1
0,20750,1,15,9,Night Game,Night Game,1,14,13,Thursday,Wednesday,75,3,Cloudy,3.966666667,1
0,15107,0,8,4,Day Game,Night Game,1,7,5,Thursday,Wednesday,81,3,Cloudy,3.633333333,1
1,33419,0,6,1,Night Game,Night Game,0,7,4,Wednesday,Tuesday,62,14,Sunny,2.616666667,1
0,43100,1,16,9,Night Game,Day Game,0,9,5,Wednesday,Sunday,67,7,Unknown,5.783333333,0
0,18572,0,8,5,Night Game,Night Game,1,4,1,Wednesday,Tuesday,78,8,Unknown,2.9,0
0,12767,1,12,4,Day Game,Night Game,0,12,7,Wednesday,Tuesday,69,10,Sunny,3.233333333,1
1,32781,2,8,6,Day Game,Night Game,3,8,4,Wednesday,Tuesday,79,13,Cloudy,3.033333333,0
1,43560,1,8,5,Night Game,Night Game,0,5,1,Saturday,Friday,78,4,Cloudy,3.183333333,0
1,39512,2,7,0,Night Game,Night Game,1,12,7,Thursday,Wednesday,68,17,Unknown,2.95,1
1,37696,1,7,3,Day Game,Night Game,1,10,1,Thursday,Wednesday,87,9,Cloudy,2.816666667,0
0,15337,0,3,0,Night Game,Night Game,0,7,5,Thursday,Wednesday,65,0,Cloudy,2.683333333,1
1,31557,2,14,6,Night Game,Night Game,0,17,12,Thursday,Wednesday,69,16,Sunny,3.333333333,1
0,21527,0,14,5,Night Game,Night Game,0,14,7,Thursday,Wednesday,81,15,Cloudy,3.083333333,1
0,18188,0,3,0,Night Game,Night Game,1,9,4,Thursday,Wednesday,72,5,Cloudy,2.733333333,1
0,28080,0,14,11,Day Game,Night Game,1,5,4,Thursday,Thursday,89,3,Sunny,2.733333333,0
0,21376,1,15,12,Night Game,Night Game,2,15,7,Thursday,Wednesday,79,1,Sunny,3.35,0
0,15273,0,18,11,Night Game,Night Game,0,9,4,Thursday,Wednesday,71,6,Cloudy,3.633333333,0
1,32189,1,6,3,Night Game,Night Game,0,10,4,Wednesday,Tuesday,89,11,Cloudy,2.8,1
1,41512,0,9,5,Night Game,Night Game,1,7,3,Wednesday,Tuesday,60,15,Unknown,3.066666667,0
0,16944,0,6,1,Night Game,Night Game,0,11,7,Wednesday,Tuesday,67,3,Cloudy,2.633333333,1
1,43114,3,13,8,Day Game,Day Game,0,5,2,Sunday,Saturday,90,12,Cloudy,2.75,0
1,33546,3,5,4,Night Game,Night Game,2,10,9,Thursday,Wednesday,93,5,Sunny,2.783333333,1
1,36233,0,8,4,Night Game,Night Game,1,13,6,Thursday,Wednesday,71,9,Sunny,2.966666667,1
0,14953,2,11,8,Day Game,Night Game,3,19,9,Thursday,Wednesday,84,12,Sunny,5.3,1
1,41955,0,7,4,Day Game,Night Game,0,5,3,Wednesday,Tuesday,80,8,Cloudy,3.05,0
0,11455,1,10,7,Night Game,Night Game,0,10,8,Wednesday,Tuesday,72,0,In Dome,3.2,1
1,42525,0,9,5,Night Game,Night Game,1,5,2,Wednesday,Tuesday,95,10,Cloudy,2.3,0
1,41750,0,4,2,Day Game,Night Game,0,12,3,Wednesday,Tuesday,61,20,Unknown,3.35,1
0,22051,0,6,5,Day Game,Night Game,0,7,2,Wednesday,Tuesday,70,11,Sunny,3,0
0,28650,0,13,8,Night Game,Day Game,1,3,1,Wednesday,Wednesday,75,7,Unknown,2.733333333,0
0,13101,0,13,10,Night Game,Night Game,1,11,6,Wednesday,Tuesday,63,20,Cloudy,3.133333333,0
1,35124,0,7,4,Night Game,Night Game,2,3,0,Wednesday,Tuesday,78,13,Cloudy,2.466666667,0
1,29293,0,9,2,Night Game,Night Game,0,9,3,Wednesday,Tuesday,97,4,Sunny,2.916666667,1
0,24591,1,6,2,Day Game,Night Game,1,10,3,Saturday,Friday,71,9,Sunny,2.85,1
1,34760,2,15,8,Day Game,Night Game,2,10,4,Wednesday,Tuesday,85,15,Sunny,3.516666667,0
0,25714,1,14,10,Night Game,Night Game,1,14,14,Wednesday,Tuesday,77,11,Cloudy,3.4,1
0,19961,0,5,3,Day Game,Night Game,0,8,2,Wednesday,Tuesday,75,0,In Dome,3.266666667,0
1,42307,0,11,2,Night Game,Night Game,0,7,3,Wednesday,Tuesday,75,6,Sunny,2.733333333,1
0,25004,0,5,2,Day Game,Night Game,0,5,3,Wednesday,Tuesday,73,0,In Dome,2.9,1
1,30150,1,8,2,Night Game,Night Game,0,11,4,Wednesday,Tuesday,81,9,Unknown,2.783333333,1
0,15629,2,3,0,Night Game,Night Game,0,10,6,Wednesday,Tuesday,75,10,Sunny,2.6,1
1,41616,0,6,4,Day Game,Night Game,0,7,3,Wednesday,Tuesday,73,7,Cloudy,2.916666667,0
1,36544,0,6,3,Night Game,Night Game,0,6,1,Wednesday,Tuesday,75,10,Cloudy,2.9,0
0,23876,1,15,10,Night Game,Night Game,2,10,7,Wednesday,Tuesday,83,9,Cloudy,3.733333333,0
1,47066,2,7,3,Night Game,Day Game,0,14,11,Tuesday,Tuesday,77,17,Sunny,2.716666667,1
1,35366,0,15,3,Night Game,Night Game,0,9,4,Tuesday,Monday,93,7,Cloudy,3.066666667,1
1,44956,1,9,3,Night Game,Night Game,0,8,6,Saturday,Friday,83,6,Sunny,3.116666667,1
1,44897,1,10,5,Night Game,Day Game,1,10,4,Wednesday,Sunday,78,9,Cloudy,2.966666667,0
0,24836,1,7,2,Night Game,Night Game,1,12,5,Wednesday,Tuesday,73,4,Sunny,2.883333333,1
0,31515,1,17,11,Day Game,Night Game,1,8,7,Wednesday,Tuesday,75,9,Sunny,3.133333333,0
1,13586,0,13,4,Night Game,Day Game,1,5,2,Wednesday,Wednesday,59,18,Overcast,2.883333333,0
1,32373,0,11,7,Night Game,Night Game,0,8,1,Wednesday,Tuesday,81,7,Cloudy,2.616666667,0
0,33819,1,12,6,Night Game,Night Game,2,4,5,Wednesday,Tuesday,77,12,Sunny,3.416666667,0
1,30808,0,16,5,Day Game,Night Game,3,9,7,Wednesday,Tuesday,73,9,Sunny,3,1
1,33917,1,18,14,Day Game,Night Game,4,14,9,Wednesday,Tuesday,87,2,Cloudy,3.85,0
1,35999,1,9,7,Day Game,Night Game,1,8,2,Wednesday,Tuesday,71,3,Unknown,4.716666667,0
0,22072,1,7,4,Night Game,Night Game,0,6,0,Wednesday,Tuesday,76,7,Cloudy,2.85,0
0,19206,0,9,5,Night Game,Night Game,1,5,3,Wednesday,Tuesday,88,9,Cloudy,2.666666667,0
0,19645,0,11,4,Day Game,Night Game,0,10,3,Wednesday,Tuesday,78,0,In Dome,3.566666667,0
1,43644,0,3,0,Night Game,Night Game,0,9,5,Saturday,Friday,72,8,Sunny,2.883333333,1
